,Tweet,Sentiment
0,da ana lma atkharrag,positive
1,baad el fetar hagelko,neutral
2,la da baad el fetar elwahed beykoun msh ader,negative
3,sha3b gahel,negative
4,hahahahahha helw elkalam dah,happy
5,kan 3ayz yroh yl3ab fe pyramids bayen,neutral
6,dah elly ana asdi aleih harfyan,neutral
7,yaany ana aklmk bel arabi trohi enti katba english,angry
8,hwa kan 3ayz yehteref barra ala tol wla eh,neutral
9,mehtag banyo malyan talg w voltaren halan,negative
10,lma atkharrag ba3d el mo3anah hakoun the happiest,happy
11,hagi awala3halkom,angry
12,ya3am el influencer ehda 3alenaa,angry
13,da lesa badre,neutral
14,wahashny ramadan el kont ba2addeh fel sahel dah,positive
15,abadan msh ha3mel keda,angry
16,ana takka kaman w hanot mn el shebak walhy,angry
17,ana meshakhbat ala esmek,neutral
18,2oli ya fannana 2oli,positive
19,e3mlili block sahla gidan,negative
20,eskot argook,angry
21,la el kalam wel page dih akid msh sah,negative
22,akhoia w aham wahed,love
23,eh el enta btzakro da anhy ktab,neutral
24,3ein eh dana khadt ala 3einy walhy,negative
25,la la kol m ashof el daragt baftas,negative
26,daragat hayla,positive
27,khaliki ad el haraka di bas,negative
28,tab w 3omri elly byroh dah,negative
29,de msh daragat midterm de walhy,angry
30,leh elet el adab dih,angry
31,yasater 3al araf,angry
32,inshallah yrga3o le baad,positive
33,ay haga fel hayah el mohm eno ykon byhel moshkla,positive
34,ana tannaht msh fahm hwa 3ayzni a3ml eih,negative
35,ana bsraha kda yaany 3ayz arouh,positive
36,fi 3azama gaya,positive
37,eh el enti hattah gamb esmek da,neutral
38,el coach by2oli not le taht msh 3arf astaw3eb el gomla ha2i2i,negative
39,akhalas mozakra w nrouh,neutral
40,lazm atgawez wahda btheb el akl zayi,positive
41,ana harfyan mn sa3et ramadan bada2 wana mesadda3 lhad dlwaty,negative
42,elghy el ta3leem el game3y,negative
43,aseeb el koleya tyb wla a3ml eh dlwa2ty,angry
44,la ma3lsh masmahlekish,angry
45,eh el malhosh lazma 3id el milad wla 3id el takharog,neutral
46,ana raddet fe sa3etha bgd,neutral
47,3ayz ye2telny,negative
48,kolna mowazafen fel akher walhy,neutral
49,ba3sha2 el momasela dih bgd,love
50,etlabasty wla eh,neutral
51,besmellah yalla bina,positive
52,aho shoft el hanin lel mady by3ml fik eh,negative
53,nabza baseta 3an ad eih el gam3a tafetny,negative
54,w baaden ba2a han3mel eih,neutral
55,enta madmon w mawgod ala tol,positive
56,ahsan testahel el byhsal fiha dah,angry
57,bafkar atsahar shawerma mn ibn el sham,neutral
58,dante yet3mlek block baa,angry
59,fo2o el emtahanat arabet,negative
