text,emotion
baad el fetar hagelko,neutral
hahahahahha helw elkalam dah,happiness
kan 3ayz yroh yl3ab fe pyramids bayen,neutral
dah elly ana asdi aleih harfyan,neutral
yaany ana aklmk bel arabi trohi enti katba english,angry
hwa kan 3ayz yehteref barra ala tol wla eh,neutral
lma atkharrag ba3d el mo3anah hakoun the happiest,happiness
hagi awala3halkom,angry
ya3am el influencer ehda 3alenaa,angry
da lesa badre,neutral
abadan msh ha3mel keda,angry
ana takka kaman w hanot mn el shebak walhy,angry
ana meshakhbat ala esmek,neutral
eskot argook,angry
akhoia w aham wahed,happiness
eh el enta btzakro da anhy ktab,neutral
de msh daragat midterm de walhy,angry
leh elet el adab dih,angry
yasater 3al araf,angry
eh el enti hattah gamb esmek da,neutral
akhalas mozakra w nrouh,neutral
aseeb el koleya tyb wla a3ml eh dlwa2ty,angry
la ma3lsh masmahlekish,angry
eh el malhosh lazma 3id el milad wla 3id el takharog,neutral
ana raddet fe sa3etha bgd,neutral
kolna mowazafen fel akher walhy,neutral
ba3sha2 el momasela dih bgd,happiness
etlabasty wla eh,neutral
w baaden ba2a han3mel eih,neutral
ahsan testahel el byhsal fiha dah,angry
bafkar atsahar shawerma mn ibn el sham,neutral
dante yet3mlek block baa,angry
bahes el 3ayshen fe dubai kolhom nafs el shakl,neutral
hwa enta leh hatet el atayef fel forn,neutral
yalahwy 3al araf el ana fih,angry
shayfne wehesh eb3ed 3ani mate2rfnish,angry
ba2ale esbo3en ba3id nafs el yom,sadness
omal eh yabenty,neutral
3amlen fetar eh,neutral
el shoghl el oltlk aleh hayebda2 emta,neutral
ahh ay had dakhal w 3ada,neutral
ya khabar hwa ana atol,happiness
fi derasa 3amaltaha embarh to2akked en ana wenti lazm netgawez,happiness
ya3ni eih mafish haga,angry
3ayez aroh taghmeesa,neutral
a2olohom wala la2,neutral
omal a2ola eih bzabt msh 3aref,neutral
ana msh fahm fi eih,neutral
shayfek odami aho,neutral
ba3sha2 esm layla,happiness
harfyan hwa dah elly kont 3ayzo,happiness
wehna hanebda2 emta,neutral
3ande fodol a3raf raddek,neutral
alby maaky walhy,happiness
abl el fetar sa3a w nerouh,neutral
hasal bzabt zay manta olt,neutral
takhayal law yasser galal mat fe akher el mosalsal,neutral
inshallah ramadan el gai harwah betna wana gayeblha sobya,happiness
balash ta2led ba2a,angry
warini el konafa dih ba2a mahsheya eh kda,neutral
hwa kan matroud wala eih,neutral
dehk mot,happiness
hwa ta2reban kda yasser galal ya haytkaram ya haythebes,neutral
hahahahahahah,happiness
ente 3andek emthan bokra wla eh,neutral
el oghneya helwa haram aleki,happiness
lma ykon feh kobayat plastic mahtota fe baad bat3asab,angry
kol sanaa wenta tayb w b kheir ya habibi,happiness
da mosalsal eh elly shaghal dah,neutral
sot ramez lwahdo da by3asab walahi,angry
ente baad el khena2at el bt3mleha dih msh hayhsal kwais,angry
aywa hasal 3rfti ezay elhagat dih,neutral
allah yekhaliki lina w yehmiki,happiness
ana ayez ay haga ana mwafe2 walhy,neutral
amr el deen da bashe3,angry
el shabab kolha fel shar3 wana a3ed azakr haram walhy,angry
ento betsamo el akla dih eih el sanady,neutral
rouh l dar el efta maslan,neutral
ba3sha2 aroh el gym wana sayem,happiness
la ba2olk eh,angry
tarebya sefr,angry
hwa ente 3arfa tezakry fel ayam el 3adeya ashan tezakry fe ramadan,angry
maba2ash feh dam khales,angry
mabahebesh el hagat elly fiha tal2ih alaya,angry
akid msh mn el oghneya ya3ni,neutral
kol da hasal ba2a b sabab el soura elly hatetha,angry
da ezay ya3ni,angry
kolhom eshtarethom men bara,neutral
eih el dehk da,happiness
eh el har dah bgd haftas,angry
lma ykon byhkelak 3an mashaklo mato3idsh enty kaman tehky 3an mashaklek,angry
e3lan el ekhteyar 3 tohfa msh tabi3i,happiness
takhayal lw kan el gamaher fel match el awel bel manzar dah,angry
hwa ana kateb eni batklm 3la mawdo3 el laser magebtsh siret ay haga tanya,angry
gab siret en mawdo3 el azayez da haga tabe3ya msh fahem  ezay ya3ni,angry
dih haga wehsha aslun ay gomhor fari2 lazem ykoun mohtaram,angry
tabe3y en el gomhor yo2af ma3 fer2eto kda,neutral
msh fahem eih dah bgd,angry
