tweet,sentiment
3a2bel miye,1
alla yse3dik,1
allah ma3k ya chekh,1
hahahaahah wala ahdam,1
bhebbik ya ashta,1
yi alf mabruk,1
enta mo7taram,1
ten3add 3alk zouzouu,1
ent bteshtehal,1
her nails ktir helwin,1
okk inshallah,1
yuy jamela,1
kenet hes ino ma fiye shil 3youne 3annek halla2 t2akadet alla yehmike ya arzet lebnen shamso,1
alla yse3id li ha ykoun bi tari2ik,1
3a2bel el 100 5ayye,1
ya 3omree enti law ta3rfe shu chta2telek,1
bheb keef fe aalam ma baarefa btaaref kteer eshya 3anne,1
good evening ya a7la 3arous,1
guys ana nezel 7areb 2oul la2 lal fased,1
enti em wl ekhet wl sadi2a li mnstened 3layha mnt3alam mna bi kel chi bkhos 7aytna allah ykhalik ya rab tawel bi 3omrik,1
sobhan allah 3anjad,1
ma btghebbi 3ana ela lama tkoune machghoule allah ywaf2ek bkl khutwe ya 7ayyety bs nehna chta2nelik hkena,1
ana kamen ma bestaghreb laen ba3rfek shames yali ra7 tdala teshro2,1
mwaffa2a farjina shaklik,1
aah ysalmik,1
kif fiye nem ana mrach7a,1
eh basita hamdella fe shahed wa ella shu kena bn3ml baleh,1
coman shaghle kbire,1
your hair is so pretty this length bas kelshi byelba2lek habibi,1
waw allah yzidon,1
guys bhebkun,1
b7eb sallim 3a lama o5te,1
tdum hal dohke,1
sobhan allah,1
translate from swedish wala wala tle3et befham swedish mama3ich khabar,1
hie btmshe la7ala,1
no lhmdela,1
bonsoir abouna abouna ma trid 3ala 7ada khalli imanak bi yesou3 kbir sabit hou bi7ibak inta labayt khallik kahin 7ibou,1
tjawazine botbo5lik,1
yislam timmak mniftikhir fik inta bit mathilna,1
knafe masalan with extra 2atter,1
tararam hatta amar 3ala ard bnazzelekk,1
wala ahdam,1
sht2na la hadmtek 3a snap 3a fekra,1
aslan enta bi albe anw so very close,1
ma berda ysibak shi bib,1
wlak dakhel rabak mabrouk tchouf 3a weja kher,1
ente ahla chi bel hayet,1
wlek alf so7a hana,1
ya 3en,1
sho 7elo t3esh l7ob,1
shu hal avi lhelwe hay,1
thank you habibii ghady 3njd im so happyy la2n 3am behke with little man like you little gentleman,1
ykhalilik yeha,1
a7la najwa bel dene,1
ya ahla ya saba77 naje7 ya saba7 hal wej l7eloo,1
ajmal festan shefto b7ayeti ma byelba2 ela elik,1
y3tike 3efye nawarti dewal 3arabiye bi sawtik wjoudik hala2 lebnen nater arzto la ymali sawta bi kel zewye fi natriinek,1
eh khls bteje bteshar sabet ma3na kabbir halak 3leyoun,1
bima enno 3am twaz3e rts hi nancyy love aslan ana bhebbikk bmout fike retweet aw bala retweet,1
eh khayy,1
hayete ma atyabkonn,1
hahahahhahahahahhahahaha lek haida ktir mahdum,1
understand bass aw2at el moumasil kamen byerte7 bil temsil ma3 hal chakhes ma ba3rif fekrte ghalat,1
hahahhahahhaa hayete,1
haram allah yeshfina,1
ya mhazab,1
kifek lywam nchallah ykoun nharik metel ma bttmani ya rab,1
enta alf khairr 7bebe wallah ana aktar,1
lezim el banet yghano mennik mch ente tghare mennoun,1
yi yeslamli albek ma atyabek aham shi youre fine enjoy your time ya 3omri,1
laa mafeek tkoun hal2ad helo sawtak hek laa,1
hawde fishes 3lay eno hie lebse mermaid hawde fishes 3lay ktir 7byto ana,1
merci alla yehmilek 3younek,1
shukran allah ykhalliik,1
lek yo2borne allah li khala2ik jamelek bhebek ktir,1
niyel kel 7ada 3m ye7darik,1
shukran shukran bas men enta le elak s3ten btmda7ne men shen allah ele men enta,1
7elwe khzene warake tbh,1
saba7 kheir ya habibit albi nchalla ykoon nharek 7ilo,1
shu hal jamel,1
enta ossa lahalak ya kbir,1
yea3od saba7ek ya amira,1
lek eh d7ake fekroun yza3loulna yeke facharo,1
bs ktir tslayna bl helem like ma tarknachi ma 3melne,1
allah ykhallilkoun yeha ytawwil 3omra ya rabb,1
oumo nesma3 keaton henson nekol shawarma,1
baadne ma3ik ana ha,1
at 3 30 miss you me yii bel sharaf eh kifon ahlak hek,1
hahahahahh akid hl2 ento nbsatu lanu kl chi ra7 kermal loudios kenoo m3i elkon,1
