text,emotion
da ana lma atkharrag,positive
la da baad el fetar elwahed beykoun msh ader,negative
sha3b gahel,negative
mehtag banyo malyan talg w voltaren halan,negative
wahashny ramadan el kont ba2addeh fel sahel dah,positive
2oli ya fannana 2oli,positive
e3mlili block sahla gidan,negative
la el kalam wel page dih akid msh sah,negative
3ein eh dana khadt ala 3einy walhy,negative
la la kol m ashof el daragt baftas,negative
daragat hayla,positive
khaliki ad el haraka di bas,negative
tab w 3omri elly byroh dah,negative
inshallah yrga3o le baad,positive
ay haga fel hayah el mohm eno ykon byhel moshkla,positive
ana tannaht msh fahm hwa 3ayzni a3ml eih,negative
ana bsraha kda yaany 3ayz arouh,positive
fi 3azama gaya,positive
el coach by2oli not le taht msh 3arf astaw3eb el gomla ha2i2i,negative
lazm atgawez wahda btheb el akl zayi,positive
ana harfyan mn sa3et ramadan bada2 wana mesadda3 lhad dlwaty,negative
elghy el ta3leem el game3y,negative
3ayz ye2telny,negative
besmellah yalla bina,positive
aho shoft el hanin lel mady by3ml fik eh,negative
nabza baseta 3an ad eih el gam3a tafetny,negative
enta madmon w mawgod ala tol,positive
fo2o el emtahanat arabet,negative
kol wahed mehasesny eno mzaker,negative
aywa ya fanan eih el 3azama dih,positive
estahda bellah ya habibi,negative
ana walhy lw naffezt el afkar el fi dmaghy ha3adi,positive
asib el ta3lem tyb wla a3ml eh dlwa2ty,negative
ya tara eh ehsas el nas el ekhteyarathom sah,negative
el mafroud kol mashaklek tethal,positive
wana wla rady wla mertah el bal,negative
walhy aham hagten el reda w rahet el bal,positive
heya el balad btwala3 wla eih,negative
ana batwatar lma akon saye2 wel donia zahma,negative
ktir awe bafkar ana leh madakhaltesh haga tania,negative
nefse afham eh lazmet el zebib,negative
hasby allah w n3ma el wakel fi elly f 2eedo,negative
ma3lsh,negative
shaklek ray2a dlwaty,positive
kobayet el ahwa el baad el fetar mazag,positive
hwa bgd ehna gayben vandam ashan y3ml ma2lab,negative
sawany bs nefham eh dah,negative
mafesh wehesh  fel hayah ad el nas el by2arabo mazaghom,negative
eih el tafaha dih,negative
el gam3a 3ayzana nesallem nafsena el sabt el gai,negative
bensali nafsena abl el fetar,positive
harfeyan ah,positive
tayartakk mnawara fel ekhteyar ya3am,positive
mehtag atkharrag mn el gam3a el khamis el gai bel kterr,negative
el koleya helwa fi ramadan,positive
e3lan vodafone tohfa,positive
mana msh haytrakem alaya mosalsalat mn awel yom ya3ni,negative
malhom msh fahem,negative
tab ehna mehtagin netla3 tal3a ala share3 el mo3ez,positive
hwa ana tayeh leh,negative
maktob makarona bel bachamel enti kadaba,negative
balash tal2ih,negative
3ayza eh dlwa2ty,negative
msh ader a2om mn ala el sofra,negative
da ehna tele3na welad 3am ba2a,positive
atmanna el sana el gaya aftar ma3 sohabi,positive
w malnash 3elaka bel khena2at khales,positive
wadeh en el nas kolaha 3ala safar ta2riban,positive
fo2 ya tarek enta etkharagt ma3andaksh agazet akher el sana,negative
ana harfyan mehtag ho2net caffeine dlwaty halan,negative
yarab yb2a fih akl ktir bokra,positive
khaliki ente ma3 el mosalsalat kda,negative
ana msh 3arf azakr anhi madda fihom,negative
kan nefsi fe taba2 koshary akhir,negative
kol sana wentoo taybeeenn,positive
ahla haga fe ramadan el sanady enena msh hanshof yasmine sabri fih,positive
da wadeh en byotna kolha nafs el shakl fe ramadan harfyan,positive
el wahed fe fatra mabet3adish,negative
msh ader 3ayz anzl atsahar el nahrda,positive
eh el kalam el gamed dah,positive
la mate2la2ish,positive
mafesh ahla mn el hussein fe ramadan bgd,positive
ma3refa helwa w entahet,negative
el mal3ab kan mor3eb bgd,negative
la ehna gomhorna kan mohtaram msh zayohom,negative
shokran shenawy fel match da walhy,positive
fer2ethom qaweya gdan hadretak bt2ol eih,negative
hwa ahsan mn salah meet mara oksembellah,negative
m hwa yekhawef bardo,negative
zizo zaher aktar mn salah walhy hwa malo fi eih,negative
o3od ya abo gabal mafesh haga ya habeby,positive
allaho akbar ya shenawy,positive
gada3 awi,positive
da bta3 el yonan habebna da,positive
zizo haikhallaslna el match inshallah,positive
el montakhab shaklo haymot hnak,negative
el senegal gamden awe el sraha yaany,positive
mabahebsh el matchat el btetle3eb el sobh,negative
ta2mi el mofadal,positive
hambeset awi law kalt macarona,positive
mana merasseky baa,positive
hassal kheir samhiha,positive
hatsafri orayeb,positive
ya3am ana hab2a rayeh amtehen,negative
shwayet hamas,positive
haga msh mobashera khalis,negative
el kelma dih matenfa3sh,negative
el sraha yaany radwa el sherbiny amar,positive
hanekhtafo yaany wla han3ml eh,negative
amar zay okhtek,positive
el match da hayb2a nar bel ma3na el harfy,positive
ya zein ekhtarto walhy,positive
aghane hamza namira de btewga3 el alb,negative
yalla netghada sawa,positive
ehna bnheb masr ya gd3an walhy bs maksofen ne2ol,positive
el gaw elsobh tohfa,positive
nelef el 3alam,positive
fel ha2e2a tela3 overrated,negative
tafteesh gamed,positive
el damen wogodak haymarmatak walhy,negative
aghane hazena fel tare2,negative
el gaw ka2ib,negative
kont ha3mel eih men gheir sohabi,positive
nesafer bara masr,positive
hya kol hagaa bt3adde ah bs btseb asar,negative
kol sana wentaa tayb yakhoia,positive
hat3meli khotobtek emta,positive
el donia helwa ahe,positive
kont aldagh fel w 3rft asalla7ha,positive
el naseha wa2t hodos el moshkla ta2neeb msh naseha,negative
el oghneya de ghareba awe,negative
tb de haga helwa,positive
haahahaha yareit kont geit,negative
ahterem el nas eh bs homa dol nas,negative
mostawak el comedy aham mn gamalak,positive
el hayah mosaleya,positive
hafez el tary2,positive
el film dah kan gharib,negative
dakhalt wahda shaklha gherhom,positive
ana ha2bad bel dollar,positive
da lesa estanne hay2alleblek baad shwya,negative
elhamdulah kont motawakke3 en da hayhsal,positive
hayel w fekra 3azima,positive
allah 3al gaw,positive
el gaw moshmes,positive
ah danta mkasel ba2a,negative
ta3maha khatir,positive
ya3eny el walad haytganen,negative
men dol w fe eh,negative
ya walad tohfa,positive
hahaha hakhalasha kolaha,positive
mab3rfsh at3aml ma3 el nas el shayfen nafsohom,negative
tebi3 baladak ashan sehleyya zay de,negative
el eye contact helw ela lw maa doctor fel emthan,negative
3eshna ad eh ba2e ad eh,positive
social battery zero kda khalas,negative
ana shayel ham en mafesh caffeine,negative
rouhi w msh hatendami,positive
da etshahar khalas,positive
3ayz ahdar hafla le ragheb alama,positive
shayel mnak ah bs lw ehtagteny hashel 3annak,positive
hagouraaa,positive
akhoia akhoiaaa,positive
msh aderrr a2oum men el sobh,negative
aham haga rahet el bal,positive
belzabt 3ashan t3raf eni sah,positive
adman mnen,negative
tbda2 taktashef rehlet enak mabtefhamsh,negative
hattena taht el tahdeed,negative
hakhod shwayet tahze2 dlwaty,negative
sohab el tofoula,positive
hanrouh el hafla w nembeset,positive
enta lazem tedhak ala khebtak fe3lan,negative
hwa 3a2el 3an kda walhy,positive
nesy el pantalon ghaleban,negative
zo2hom wehesh fel lebs,negative
nafseyeti ba2eit ahsan enaharda,positive
shaklaha khena2a 3anefa,negative
msh tabe3ya modheka awi,positive
wes3et mnak de,negative
eh da ya ghaly,positive
msh 3arf ahadded men fehom el mahzoz,positive
de maynfa3sh m3aha talmeeh,negative
hya bt3ml m3ana kda leh,negative
ente byhsal maake mawakef 3ageba,negative
shakle et3adet mnak,negative
yarab nos el sabr elly 3andak,positive
enta 3andak haneen lel maady,negative
el geel bta3na aghlabo bytahteh,negative
gil bayez,negative
el donia bayza mn badri,negative
el le3ba kebrt menak,negative
harfyan zay m mama alet,positive
